price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,servant room,pooja room,furnishing_type,luxury
1.79,4.0,3.0,3+,mid floor,moderately old,sector 90,flat,2215.0,no,no,unfurnished,semi_luxrious
1.8,3.0,3.0,3,high floor,under construction,sector 85,flat,127.3,no,no,unfurnished,normal
1.45,3.0,3.0,3,low floor,under construction,sector 2,flat,760.0,no,no,unfurnished,normal
0.22,1.0,1.0,1,low floor,relatively new,sector 21,flat,465.0,no,no,unfurnished,low
0.36,2.0,2.0,1,groundfloor,relatively new,sector 7,flat,700.117,no,no,unfurnished,low
0.25,2.0,2.0,1,groundfloor,relatively new,sohna road,flat,587.13,no,no,unfurnished,normal
1.15,3.0,3.0,3+,low floor,relatively new,sector 79,flat,1103.0,no,no,unfurnished,normal
1.65,3.0,3.0,0,low floor,relatively new,sohna road,flat,946.0,no,no,unfurnished,semi_luxrious
2.9,4.0,4.0,3+,high floor,new property,sector 113,flat,2298.0,yes,no,unfurnished,normal
0.6,2.0,2.0,3,high floor,under construction,sector 92,flat,1056.0,no,no,unfurnished,low
2.4,3.0,3.0,0,groundfloor,moderately old,sector 47,flat,2400.0,no,no,semifurnished,low
1.25,2.0,2.0,3,high floor,relatively new,sector 70,flat,1262.0,no,no,unfurnished,low
2.15,2.0,2.0,3+,high floor,relatively new,sector 65,flat,1433.047,no,no,unfurnished,normal
0.29,2.0,2.0,1,low floor,relatively new,sohna road,flat,519.0,no,no,unfurnished,low
0.38,2.0,2.0,2,mid floor,relatively new,sohna road,flat,650.0,no,no,unfurnished,low
0.39,2.0,2.0,1,low floor,relatively new,sector 4,flat,750.0,no,no,unfurnished,low
1.6,3.0,4.0,0,high floor,new property,sector 99,flat,2399.88,no,no,unfurnished,normal
1.7,4.0,4.0,3,low floor,new property,sector 68,flat,1599.2,no,no,unfurnished,normal
3.25,3.0,3.0,3+,groundfloor,old property,sector 54,flat,2302.0,no,yes,semifurnished,luxrious
0.6,2.0,2.0,3,mid floor,new property,sector 111,flat,710.0,no,no,unfurnished,normal
0.27,2.0,2.0,0,low floor,new property,sector 95,flat,550.0,no,no,unfurnished,low
0.95,2.0,1.0,1,low floor,old property,sector 28,flat,1069.0,no,no,unfurnished,semi_luxrious
2.65,2.0,2.0,3,low floor,new property,sector 65,flat,1146.4,no,no,unfurnished,normal
0.36,2.0,2.0,1,low floor,new property,sector 79,flat,471.0,no,no,unfurnished,semi_luxrious
0.55,2.0,2.0,3,low floor,new property,sector 37,flat,480.0,no,no,unfurnished,normal
1.32,3.0,3.0,3,low floor,new property,sector 89,flat,780.0,no,no,unfurnished,normal
0.59,2.0,2.0,3,low floor,new property,sector 99,flat,1001.7315896,no,no,unfurnished,semi_luxrious
0.45,2.0,2.0,1,groundfloor,relatively new,sector 4,flat,850.0,no,no,unfurnished,normal
0.9,3.0,3.0,2,high floor,relatively new,sector 37,flat,975.0,no,no,furnished,normal
1.4,2.0,2.0,2,low floor,relatively new,sector 79,flat,1400.0,yes,no,furnished,semi_luxrious
0.95,2.0,2.0,3+,mid floor,new property,sohna road,flat,849.0,no,no,semifurnished,normal
3.0,3.0,3.0,3,high floor,under construction,sector 65,flat,1462.4,no,no,unfurnished,semi_luxrious
3.67,3.0,3.0,2,high floor,relatively new,sector 65,flat,1632.0,yes,no,unfurnished,normal
3.85,5.0,6.0,3+,mid floor,new property,sector 82,flat,5140.0,yes,yes,unfurnished,luxrious
3.29,3.0,3.0,3,high floor,new property,sector 65,flat,1462.4,no,no,unfurnished,normal
2.33,2.0,2.0,3,high floor,under construction,sector 65,flat,1008.8,no,no,semifurnished,normal
2.79,3.0,3.0,3,high floor,new property,sector 65,flat,1462.4,no,no,unfurnished,low
3.4,4.0,4.0,3,groundfloor,old property,sector 41,flat,2900.034,no,no,unfurnished,low
0.72,2.0,2.0,1,low floor,relatively new,sector 12,flat,990.0,no,no,semifurnished,low
0.4,2.0,2.0,1,low floor,relatively new,sector 104,flat,454.7532472,no,no,unfurnished,normal
0.56,2.0,2.0,2,mid floor,relatively new,sector 95,flat,1091.2,no,no,semifurnished,semi_luxrious
1.1,3.0,3.0,3,high floor,relatively new,sector 71,flat,1296.0,no,no,unfurnished,semi_luxrious
0.71,2.0,2.0,3,mid floor,new property,sector 37,flat,1000.0,no,no,unfurnished,normal
0.78,2.0,2.0,3+,groundfloor,new property,sector 79,flat,1036.0,no,no,unfurnished,semi_luxrious
0.4,2.0,2.0,3,low floor,under construction,sector 37,flat,680.0,no,no,unfurnished,luxrious
1.85,3.0,2.0,2,mid floor,new property,sector 113,flat,1263.2,no,no,unfurnished,low
1.1,2.0,2.0,1,mid floor,relatively new,sector 102,flat,722.4000000000001,no,no,unfurnished,semi_luxrious
1.41,2.0,2.0,2,low floor,new property,sector 61,flat,1151.02,no,no,unfurnished,semi_luxrious
1.45,3.0,3.0,3,low floor,relatively new,sector 79,flat,1945.0,no,no,unfurnished,low
2.2,3.0,3.0,2,low floor,new property,sector 61,flat,1600.0,no,no,unfurnished,normal
1.1,2.0,2.0,3,mid floor,moderately old,sector 33,flat,1000.0,no,no,semifurnished,normal
2.05,3.0,4.0,3+,high floor,relatively new,sector 102,flat,2025.0,yes,no,unfurnished,luxrious
0.6,3.0,2.0,3,low floor,moderately old,sector 92,flat,1200.0,no,no,semifurnished,normal
0.8,2.0,3.0,3,mid floor,under construction,sector 89,flat,1328.0,no,no,unfurnished,semi_luxrious
0.41,2.0,2.0,2,mid floor,new property,sector 84,flat,483.0,no,no,semifurnished,low
0.9,3.0,3.0,3,low floor,under construction,sector 73,flat,1622.206,yes,no,unfurnished,semi_luxrious
0.54,2.0,2.0,1,low floor,relatively new,sector 7,flat,900.0,no,no,unfurnished,semi_luxrious
0.82,3.0,2.0,2,low floor,new property,sector 36,flat,650.0,no,no,unfurnished,low
1.0,3.0,3.0,3+,low floor,relatively new,sector 71,flat,1188.0,no,no,semifurnished,low
1.85,3.0,4.0,3,mid floor,old property,sector 56,flat,2050.0,yes,no,unfurnished,semi_luxrious
1.42,3.0,3.0,2,low floor,relatively new,sector 83,flat,1775.0,no,no,semifurnished,luxrious
0.55,2.0,2.0,3,low floor,new property,sector 37,flat,600.0,no,no,unfurnished,semi_luxrious
2.29,2.0,2.0,3,mid floor,under construction,sector 65,flat,1433.0,no,no,unfurnished,low
0.97,2.0,2.0,2,high floor,new property,sector 102,flat,600.0,no,no,unfurnished,normal
8.25,3.0,4.0,3,mid floor,relatively new,sector 53,flat,2352.0,yes,no,furnished,normal
0.3,2.0,2.0,1,low floor,relatively new,sector 3,flat,675.0,no,no,unfurnished,low
1.65,2.0,2.0,3,low floor,under construction,sector 33,flat,1151.0,no,no,unfurnished,normal
1.99,2.0,2.0,2,high floor,relatively new,sector 65,flat,1008.0,no,no,unfurnished,normal
1.0,2.0,2.0,3,high floor,relatively new,sector 68,flat,800.0,no,no,unfurnished,normal
4.25,3.0,3.0,3,mid floor,under construction,sector 62,flat,1600.0,no,no,unfurnished,low
1.25,4.0,4.0,3,low floor,relatively new,sector 78,flat,2000.0,yes,yes,unfurnished,normal
0.95,3.0,3.0,3,low floor,moderately old,sector 83,flat,1340.0,no,no,unfurnished,low
1.05,3.0,2.0,2,low floor,new property,sector 4,flat,1350.0,no,no,semifurnished,low
4.1,4.0,5.0,3+,high floor,new property,sector 72,flat,2324.0,yes,no,unfurnished,semi_luxrious
0.5,2.0,2.0,2,low floor,relatively new,sector 90,flat,716.0,no,no,unfurnished,low
1.65,4.0,3.0,3,mid floor,new property,sector 1,flat,2800.0,yes,no,unfurnished,low
1.6,3.0,3.0,3,low floor,new property,sector 70,flat,1575.0,yes,no,unfurnished,semi_luxrious
2.1,3.0,2.0,3,low floor,new property,sector 61,flat,1549.0,no,no,unfurnished,luxrious
0.9,4.0,4.0,3,mid floor,moderately old,sector 1,flat,1973.6,no,no,unfurnished,low
1.1,2.0,2.0,3+,low floor,new property,sector 79,flat,1080.8,no,no,semifurnished,normal
0.92,2.0,2.0,3+,high floor,under construction,sector 99,flat,1092.0,no,no,unfurnished,normal
0.7,3.0,3.0,2,high floor,under construction,sector 92,flat,1259.899,no,no,unfurnished,normal
0.99,3.0,4.0,2,high floor,under construction,sector 70,flat,1252.0,no,no,unfurnished,low
0.71,2.0,2.0,3+,high floor,new property,sector 79,flat,1295.0,no,no,unfurnished,normal
0.88,2.0,2.0,3,low floor,new property,sector 103,flat,1088.8,no,no,unfurnished,normal
0.91,3.0,2.0,2,high floor,moderately old,sector 69,flat,1326.0,no,no,unfurnished,normal
1.25,3.0,4.0,3+,mid floor,under construction,sector 82,flat,1568.0,no,no,unfurnished,normal
1.05,2.0,2.0,2,low floor,relatively new,sector 47,flat,997.0,no,no,semifurnished,normal
0.66,2.0,2.0,3+,high floor,relatively new,sector 37,flat,1310.044,no,no,unfurnished,semi_luxrious
1.83,2.0,2.0,0,mid floor,new property,sector 113,flat,1310.044,no,no,unfurnished,semi_luxrious
0.53,2.0,2.0,2,mid floor,relatively new,sector 70,flat,876.0,no,no,unfurnished,low
0.8,2.0,2.0,3,low floor,relatively new,sector 37,flat,1200.0,no,no,unfurnished,semi_luxrious
1.71,3.0,2.0,0,low floor,new property,sector 89,flat,1425.0,no,no,unfurnished,normal
0.65,1.0,1.0,0,mid floor,relatively new,sector 83,flat,699.978,no,no,unfurnished,low
1.3,3.0,3.0,0,high floor,new property,sector 99,flat,1996.928,no,no,unfurnished,low
0.82,3.0,3.0,3+,high floor,relatively new,sector 92,flat,1523.031,no,no,unfurnished,low
5.7,3.0,3.0,3,low floor,moderately old,sector 54,flat,1381.986,no,no,unfurnished,normal
